player_name;team_abbreviation;country;pts;reb;ast;season
Frankie King;PHI;USA;2.9;2.0;0.7;1996-97
Fred Hoiberg;IND;USA;4.8;1.7;0.9;1996-97
Henry James;ATL;USA;6.7;1.5;0.4;1996-97
Elden Campbell;LAL;USA;14.9;8.0;1.6;1996-97
Herb Williams;NYK;USA;1.9;1.5;0.2;1996-97
Horace Grant;ORL;USA;12.6;9.0;2.4;1996-97
Jerome Williams;DET;USA;1.5;1.5;0.2;1996-97
Jerry Stackhouse;PHI;USA;20.7;4.2;3.1;1996-97
Jim Jackson;NJN;USA;15.9;5.3;4.1;1996-97
Jim McIlvaine;SEA;USA;3.8;4.0;0.3;1996-97
Jimmy Carruth;MIL;USA;1.3;1.0;0.0;1996-97
Jimmy King;DEN;USA;3.0;1.0;1.0;1996-97
Jimmy Oliver;TOR;USA;2.8;1.3;0.3;1996-97
Joe Courtney;SAS;USA;2.8;1.8;0.0;1996-97
Joe Dumars;DET;USA;14.7;2.4;4.0;1996-97
Jerome Kersey;LAL;USA;6.8;5.2;1.3;1996-97
Joe Kleine;NJN;USA;2.8;3.4;0.6;1996-97
Joe Stephens;HOU;USA;1.5;1.5;0.0;1996-97
Joe Wolf;MIL;USA;1.7;2.0;0.4;1996-97
John Crotty;MIA;USA;4.8;1.0;2.1;1996-97
John Long;TOR;USA;4.0;1.3;0.7;1996-97
John Starks;NYK;USA;13.8;2.7;2.8;1996-97
John Stockton;UTA;USA;14.4;2.8;10.5;1996-97
John Wallace;NYK;USA;4.8;2.3;0.5;1996-97
Johnny Newman;MIL;USA;8.7;2.3;1.4;1996-97
Jon Barry;ATL;USA;4.9;1.7;2.0;1996-97
Joe Smith;GSW;USA;18.7;8.5;1.6;1996-97
Jerome Allen;DEN;USA;3.0;1.3;2.0;1996-97
Jermaine O'Neal;POR;USA;4.1;2.8;0.2;1996-97
Jeff McInnis;DEN;USA;5.0;0.5;1.4;1996-97
Horacio Llamas;PHX;USA;1.7;0.9;0.2;1996-97
Hot Rod Williams;PHX;USA;8.0;8.3;1.5;1996-97
Howard Eisley;UTA;USA;4.5;1.0;2.4;1996-97
Hubert Davis;TOR;USA;5.0;1.1;0.9;1996-97
Ike Austin;MIA;USA;9.7;5.8;1.2;1996-97
Isaiah Rider;POR;USA;16.1;4.0;2.6;1996-97
Ivano Newbill;ATL;USA;1.4;2.8;0.3;1996-97
Jack Haley;NJN;USA;2.0;1.6;0.3;1996-97
Jalen Rose;IND;USA;7.3;1.8;2.3;1996-97
Jamal Mashburn;MIA;USA;11.9;4.3;2.9;1996-97
James Robinson;MIN;USA;8.3;1.6;1.8;1996-97
James Scott;MIA;USA;0.1;0.8;0.4;1996-97
Jamie Feick;SAS;USA;3.7;5.2;0.6;1996-97
Jamie Watson;DAL;USA;3.4;2.0;1.4;1996-97
Jaren Jackson;WAS;USA;5.0;1.8;0.9;1996-97
Jason Caffey;CHI;USA;7.3;4.0;1.2;1996-97
Jason Kidd;PHX;USA;10.9;4.5;9.0;1996-97
Jason Sasser;DAL;USA;2.4;1.0;0.3;1996-97
Jayson Williams;NJN;USA;13.4;13.5;1.2;1996-97
Jeff Grayer;SAC;USA;3.6;1.5;1.0;1996-97
Jeff Hornacek;UTA;USA;14.5;2.9;4.4;1996-97
Hersey Hawkins;SEA;USA;13.9;3.9;3.0;1996-97
Eddie Jones;LAL;USA;17.2;4.1;3.4;1996-97
Eddie Johnson;HOU;USA;8.2;2.7;1.0;1996-97
Ed Pinckney;MIA;USA;2.4;2.4;0.2;1996-97
Chris Jent;NYK;USA;2.0;0.3;0.3;1996-97
Chris Mills;CLE;USA;13.4;6.2;2.5;1996-97
Chris Morris;UTA;USA;4.3;2.2;0.6;1996-97
Chris Mullin;GSW;USA;14.5;4.0;4.1;1996-97
Chris Robinson;VAN;USA;4.6;1.7;1.6;1996-97
Chris Webber;WAS;USA;20.1;10.3;4.6;1996-97
Chris Whitney;WAS;USA;5.2;1.3;2.2;1996-97
Christian Laettner;ATL;USA;18.1;8.8;2.7;1996-97
Chucky Brown;MIL;USA;2.9;2.1;0.4;1996-97
Chris Gatling;NJN;USA;19.0;7.9;0.6;1996-97
Clar. Weatherspoon;PHI;USA;12.2;8.3;1.7;1996-97
Clifford Rozier;TOR;USA;4.5;5.6;0.7;1996-97
Clyde Drexler;HOU;USA;18.0;6.0;5.7;1996-97
Corie Blount;LAL;USA;4.2;4.8;0.6;1996-97
Corliss Williamson;SAC;USA;11.6;4.1;1.6;1996-97
Cory Alexander;SAS;USA;7.2;1.5;3.2;1996-97
Craig Ehlo;SEA;USA;3.5;1.8;1.1;1996-97
Cuonzo Martin;MIL;USA;0.0;0.3;0.3;1996-97
Dale Davis;IND;USA;10.4;9.7;0.7;1996-97
Dale Ellis;DEN;USA;16.6;3.6;2.0;1996-97
Clifford Robinson;POR;USA;15.1;4.0;3.2;1996-97
Chris Dudley;POR;USA;3.9;7.3;0.5;1996-97
Chris Childs;NYK;USA;9.3;2.9;6.1;1996-97
Chris Carr;MIN;USA;6.1;2.1;0.9;1996-97
Brian Evans;ORL;USA;1.4;0.6;0.5;1996-97
Brian Grant;SAC;USA;10.5;5.9;1.2;1996-97
Brian Shaw;ORL;USA;7.2;2.5;4.1;1996-97
Brooks Thompson;DEN;USA;6.6;1.4;2.7;1996-97
Bruce Bowen;MIA;USA;0.0;0.0;0.0;1996-97
Bryant Reeves;VAN;USA;16.2;8.1;2.1;1996-97
Bryant Stith;DEN;USA;14.9;4.2;2.6;1996-97
Bryon Russell;UTA;USA;10.8;4.1;1.5;1996-97
Buck Williams;NYK;USA;6.3;5.4;0.7;1996-97
Byron Scott;LAL;USA;6.7;1.5;1.3;1996-97
Calbert Cheaney;WAS;USA;10.6;3.4;1.4;1996-97
Carl Herrera;SAS;USA;8.0;4.5;0.7;1996-97
Carl Thomas;CLE;USA;1.1;0.7;0.4;1996-97
Carlos Rogers;TOR;USA;9.8;5.4;0.7;1996-97
Cedric Ceballos;PHX;USA;14.6;6.6;1.3;1996-97
Charles Barkley;HOU;USA;19.2;13.5;4.7;1996-97
Charles Jones;HOU;USA;0.3;1.1;0.3;1996-97
Charles Oakley;NYK;USA;10.8;9.8;2.8;1996-97
Charles Smith;SAS;USA;4.6;3.4;0.7;1996-97
Charlie Ward;NYK;USA;5.2;2.8;4.1;1996-97
Cherokee Parks;MIN;USA;3.3;2.6;0.4;1996-97
Damon Stoudamire;TOR;USA;20.2;4.1;8.8;1996-97
Dan Majerle;MIA;USA;10.8;4.5;3.2;1996-97
Dan Schayes;ORL;USA;3.0;2.8;0.3;1996-97
Dana Barros;BOS;USA;12.5;2.0;3.4;1996-97
Dexter Boney;PHX;USA;2.4;0.8;0.0;1996-97
Dickey Simpkins;CHI;USA;1.9;1.9;0.6;1996-97
Dikembe Mutombo;ATL;Congo;13.3;11.6;1.4;1996-97
Dino Radja;BOS;USA;14.0;8.4;1.9;1996-97
Dominique Wilkins;SAS;USA;18.2;6.4;1.9;1996-97
Don MacLean;PHI;USA;10.9;3.8;1.0;1996-97
Don Reid;DET;USA;2.8;2.1;0.3;1996-97
Donald Royal;CHH;USA;3.5;2.5;0.4;1996-97
Donald Whiteside;TOR;USA;2.2;0.4;1.3;1996-97
Donnie Boyce;ATL;USA;2.5;0.7;0.6;1996-97
Donny Marshall;CLE;USA;3.1;1.3;0.4;1996-97
Dontonio Wingfield;POR;USA;4.5;2.9;1.0;1996-97
Donyell Marshall;GSW;USA;7.3;4.5;0.9;1996-97
Doug Christie;TOR;USA;14.5;5.3;3.9;1996-97
Doug Overton;PHI;USA;3.6;1.1;1.7;1996-97
Doug West;MIN;USA;7.8;2.2;1.7;1996-97
Duane Causwell;SAC;USA;2.6;2.8;0.4;1996-97
Duane Ferrell;IND;USA;6.4;2.3;1.1;1996-97
Dwayne Schintzius;LAC;USA;2.3;1.5;0.3;1996-97
Earl Cureton;TOR;USA;0.8;1.0;0.4;1996-97
Ed O'Bannon;DAL;USA;3.7;2.3;0.6;1996-97
Devin Gray;SAS;USA;3.0;2.3;0.3;1996-97
Jud Buechler;CHI;USA;1.8;1.7;0.8;1996-97
Detlef Schrempf;SEA;USA;16.8;6.5;4.4;1996-97
Derrick Coleman;PHI;USA;18.1;10.1;3.4;1996-97
Danny Ferry;CLE;USA;10.6;4.1;1.8;1996-97
Danny Manning;PHX;USA;13.5;6.1;2.2;1996-97
Darrell Armstrong;ORL;USA;6.1;1.1;2.6;1996-97
Darrick Martin;LAC;USA;10.9;1.4;4.1;1996-97
Darrin Hancock;ATL;USA;1.8;0.8;0.5;1996-97
Darvin Ham;IND;USA;2.3;1.6;0.4;1996-97
David Robinson;SAS;USA;17.7;8.5;1.3;1996-97
David Vaughn;ORL;USA;2.3;2.7;0.2;1996-97
David Wesley;BOS;USA;16.8;3.6;7.3;1996-97
David Wingate;SEA;USA;3.6;1.1;1.2;1996-97
David Wood;MIL;USA;1.2;0.6;0.3;1996-97
Dean Garrett;MIN;USA;8.0;7.3;0.6;1996-97
Dee Brown;BOS;USA;7.6;2.3;3.2;1996-97
Dell Curry;CHH;USA;14.8;3.1;1.7;1996-97
Dell Demps;ORL;USA;1.0;0.0;0.0;1996-97
Dennis Rodman;CHI;USA;5.7;16.1;3.1;1996-97
Dennis Scott;ORL;USA;12.5;3.1;2.1;1996-97
Derek Fisher;LAL;USA;3.9;1.2;1.5;1996-97
Derek Harper;DAL;USA;10.0;1.8;4.3;1996-97
Derek Strong;ORL;USA;8.5;6.3;0.9;1996-97
Derrick Alston;ATL;USA;0.0;2.0;0.0;1996-97
Derrick McKey;IND;USA;8.0;4.8;2.7;1996-97
Brett Szabo;BOS;USA;2.2;2.4;0.2;1996-97
Juwan Howard;WAS;USA;19.1;8.0;3.8;1996-97
Keith Askins;MIA;USA;4.9;3.5;1.0;1996-97
Scott Burrell;GSW;USA;5.2;2.8;1.3;1996-97
Scott Williams;PHI;USA;5.8;6.4;0.7;1996-97
Scottie Pippen;CHI;USA;20.2;6.5;5.7;1996-97
Sean Elliott;SAS;USA;14.9;4.9;3.2;1996-97
Sean Rooks;LAL;USA;3.8;2.4;0.6;1996-97
Sedale Threatt;HOU;USA;3.3;1.1;1.9;1996-97
Shandon Anderson;UTA;USA;5.9;2.8;0.8;1996-97
Shane Heal;MIN;USA;1.7;0.4;0.8;1996-97
Shaquille O'Neal;LAL;USA;26.2;12.5;3.1;1996-97
Scott Brooks;NYK;USA;1.5;0.5;0.8;1996-97
Shareef Abdur-Rahim;VAN;USA;18.7;6.9;2.2;1996-97
Shawn Bradley;DAL;USA;13.2;8.4;0.7;1996-97
Shawn Kemp;SEA;USA;18.7;10.0;1.9;1996-97
Shawn Respert;TOR;USA;4.2;1.0;1.0;1996-97
Shawnelle Scott;CLE;USA;1.3;1.0;0.0;1996-97
Sherman Douglas;MIL;USA;9.7;2.4;5.4;1996-97
Stacey Augmon;POR;USA;4.7;2.3;0.9;1996-97
Stacey King;DAL;USA;2.2;2.5;0.1;1996-97
Stanley Roberts;LAC;USA;9.5;5.1;0.5;1996-97
Stephen Howard;UTA;USA;3.6;1.7;0.2;1996-97
Sharone Wright;TOR;USA;6.5;3.1;0.5;1996-97
Sasha Danilovic;DAL;USA;12.5;2.4;1.8;1996-97
Sarunas Marciulionis;DEN;USA;6.8;1.8;1.5;1996-97
Samaki Walker;DAL;USA;4.9;3.4;0.4;1996-97
Rex Walters;PHI;USA;6.8;1.8;1.9;1996-97
Richard Manning;LAC;USA;2.9;1.5;0.1;1996-97
Rick Fox;BOS;Canada;15.4;5.2;3.8;1996-97
Rick Mahorn;DET;USA;2.5;2.4;0.3;1996-97
Ricky Pierce;CHH;USA;11.0;2.0;1.3;1996-97
Rik Smits;IND;USA;17.1;6.9;1.3;1996-97
Robert Horry;LAL;USA;7.8;4.4;2.0;1996-97
Robert Pack;DAL;USA;14.3;2.7;8.4;1996-97
Robert Parish;CHI;USA;3.7;2.1;0.5;1996-97
Robert Werdann;NJN;USA;1.5;1.0;0.0;1996-97
Rod Strickland;WAS;USA;17.2;4.1;8.9;1996-97
Rodney Rogers;LAC;USA;13.2;5.1;2.7;1996-97
Ron Harper;CHI;USA;6.3;2.5;2.5;1996-97
Rony Seikaly;ORL;USA;17.3;9.5;1.2;1996-97
Roy Rogers;VAN;USA;6.6;4.7;0.6;1996-97
Ruben Nembhard;POR;USA;4.0;0.8;1.7;1996-97
Rumeal Robinson;POR;USA;3.3;0.9;1.4;1996-97
Sam Cassell;NJN;USA;15.9;3.0;5.0;1996-97
Sam Mack;HOU;USA;5.6;2.0;1.1;1996-97
Sam Mitchell;MIN;USA;9.3;4.0;1.0;1996-97
Sam Perkins;SEA;USA;11.0;3.7;1.3;1996-97
Stephon Marbury;MIN;USA;15.8;2.7;7.8;1996-97
Rex Chapman;PHX;USA;13.8;2.8;2.8;1996-97
Steve Hamer;BOS;USA;2.2;1.7;0.2;1996-97
Steve Nash;PHX;Canada;3.3;1.0;2.1;1996-97
Willie Anderson;MIA;USA;3.0;1.5;1.2;1996-97
Will Perdue;SAS;USA;8.7;9.8;0.6;1996-97
Wesley Person;PHX;USA;13.5;3.7;1.5;1996-97
Wayman Tisdale;PHX;USA;6.5;2.3;0.4;1996-97
Walter McCarty;NYK;USA;1.8;0.7;0.4;1996-97
Walt Williams;TOR;USA;16.4;5.0;2.7;1996-97
Voshon Lenard;MIA;USA;12.3;3.0;2.2;1996-97
Vlade Divac;CHH;Serbia and Montenegro;12.6;9.0;3.7;1996-97
Vitaly Potapenko;CLE;Ukraine;5.8;2.7;0.5;1996-97
Willie Burton;ATL;USA;6.2;1.7;0.5;1996-97
Vinny Del Negro;SAS;USA;12.3;2.9;3.2;1996-97
Vin Baker;MIL;USA;21.0;10.3;2.7;1996-97
Vernon Maxwell;SAS;USA;12.9;2.2;2.1;1996-97
Tyus Edney;SAC;USA;6.9;1.6;3.2;1996-97
Tyrone Hill;CLE;USA;12.9;9.9;1.2;1996-97
Tyrone Corbin;ATL;USA;9.5;4.2;1.8;1996-97
Travis Knight;LAL;USA;4.8;4.5;0.5;1996-97
Travis Best;IND;USA;9.9;2.2;4.2;1996-97
Tracy Murray;WAS;USA;10.0;3.1;1.0;1996-97
Tracy Moore;HOU;USA;3.7;1.0;0.7;1996-97
Vincent Askew;DEN;USA;5.6;2.3;2.1;1996-97
Xavier McDaniel;NJN;USA;5.6;5.1;1.0;1996-97
Yinka Dare;NJN;USA;1.4;2.0;0.1;1996-97
Zan Tabak;TOR;USA;6.5;3.8;1.1;1996-97
Steve Scheffler;SEA;USA;1.6;0.4;0.0;1996-97
Steven Smith;ATL;USA;20.1;3.3;4.2;1996-97
Stevin Smith;DAL;USA;1.8;1.3;0.5;1996-97
Stojko Vrankovic;MIN;USA;3.4;3.2;0.3;1996-97
Terrell Brandon;CLE;USA;19.5;3.9;6.3;1996-97
Terry Cummings;SEA;USA;8.2;4.1;0.9;1996-97
Terry Dehere;LAC;USA;6.4;1.3;2.2;1996-97
Terry Mills;DET;USA;10.8;4.8;1.3;1996-97
Terry Porter;MIN;USA;6.9;2.1;3.6;1996-97
Theo Ratliff;DET;USA;5.8;3.4;0.2;1996-97
Tim Hardaway;MIA;USA;20.3;3.4;8.6;1996-97
Tim Kempton;SAS;USA;0.4;0.8;0.2;1996-97
Tim Legler;WAS;USA;2.9;1.4;0.5;1996-97
Todd Day;BOS;USA;14.5;4.1;1.4;1996-97
Todd Fuller;GSW;USA;4.0;3.3;0.3;1996-97
Tom Chambers;CHH;USA;1.6;1.2;0.3;1996-97
Tom Gugliotta;MIN;USA;20.6;8.7;4.1;1996-97
Tom Hammonds;DEN;USA;6.2;5.0;0.8;1996-97
Toni Kukoc;CHI;Croatia;13.2;4.6;4.5;1996-97
Tony Delk;CHH;USA;5.4;1.6;1.6;1996-97
Tony Dumas;PHX;USA;3.6;0.7;1.0;1996-97
Steve Kerr;CHI;USA;8.1;1.6;2.1;1996-97
Reggie Williams;NJN;USA;5.8;2.4;0.8;1996-97
Reggie Slater;TOR;USA;7.8;3.7;0.8;1996-97
Reggie Miller;IND;USA;21.6;3.5;3.4;1996-97
Lindsey Hunter;DET;USA;14.2;2.8;1.9;1996-97
Lionel Simmons;SAC;USA;3.4;2.5;1.4;1996-97
Litterial Green;DET;USA;2.0;0.5;0.9;1996-97
Tony Smith;CHH;USA;5.0;1.4;2.2;1996-97
Loren Meyer;PHX;USA;4.9;2.7;0.4;1996-97
Lorenzen Wright;LAC;USA;7.3;6.1;0.6;1996-97
Lorenzo Williams;WAS;USA;2.4;3.6;0.2;1996-97
Lou Roe;GSW;USA;2.4;0.8;0.4;1996-97
Loy Vaught;LAC;USA;14.9;10.0;1.3;1996-97
Lee Mayberry;VAN;USA;5.1;1.7;4.1;1996-97
Luc Longley;CHI;USA;9.1;5.6;2.4;1996-97
Mahmoud Abdul-Rauf;SAC;USA;13.7;1.6;2.5;1996-97
Malik Rose;CHH;USA;3.0;3.0;0.6;1996-97
Malik Sealy;LAC;USA;13.5;3.0;2.1;1996-97
Marcus Brown;POR;USA;3.9;0.7;1.0;1996-97
Marcus Camby;TOR;USA;14.8;6.3;1.5;1996-97
Mario Elie;HOU;USA;11.7;3.0;4.0;1996-97
Mark Bradtke;PHI;USA;1.6;1.9;0.2;1996-97
Mark Bryant;PHX;USA;9.3;5.2;1.1;1996-97
Mark Davis;PHI;USA;8.5;4.3;1.8;1996-97
Lucious Harris;PHI;USA;5.4;1.3;0.9;1996-97
Lawrence Moten;VAN;USA;6.7;1.8;1.9;1996-97
Latrell Sprewell;GSW;USA;24.2;4.6;6.3;1996-97
Larry Stewart;SEA;USA;4.3;2.4;0.7;1996-97
Keith Tower;MIL;USA;1.4;1.8;0.2;1996-97
Ken Norman;ATL;USA;3.8;2.3;0.7;1996-97
Kendall Gill;NJN;USA;21.8;6.1;4.0;1996-97
Kenny Anderson;POR;USA;17.5;4.4;7.1;1996-97
Kenny Smith;DEN;USA;6.3;0.9;2.4;1996-97
Kerry Kittles;NJN;USA;16.4;3.9;3.0;1996-97
Kevin Duckworth;LAC;USA;4.0;2.3;0.6;1996-97
Kevin Edwards;NJN;USA;5.9;1.3;1.8;1996-97
Kevin Gamble;SAC;USA;5.0;1.7;1.2;1996-97
Kevin Garnett;MIN;USA;17.0;8.0;3.1;1996-97
Kevin Johnson;PHX;USA;20.1;3.6;9.3;1996-97
Kevin Salvadori;SAC;USA;1.6;1.1;0.4;1996-97
Kevin Willis;HOU;USA;11.2;7.5;0.9;1996-97
Khalid Reeves;DAL;USA;8.2;1.9;3.6;1996-97
Kobe Bryant;LAL;USA;7.6;1.9;1.3;1996-97
Kurt Thomas;MIA;USA;6.3;5.9;0.5;1996-97
LaPhonso Ellis;DEN;USA;21.9;7.0;2.4;1996-97
LaSalle Thompson;IND;USA;0.4;1.3;0.1;1996-97
Lamond Murray;LAC;USA;7.4;3.1;0.8;1996-97
Larry Johnson;NYK;USA;12.8;5.2;2.3;1996-97
Larry Krystkowiak;LAL;USA;1.0;1.7;1.0;1996-97
Mark Hendrickson;PHI;USA;2.9;3.2;0.1;1996-97
Mark Jackson;IND;USA;9.9;4.8;11.4;1996-97
Mark Price;GSW;USA;11.3;2.6;4.9;1996-97
Mark Strickland;MIA;USA;2.0;1.2;0.0;1996-97
Nick Anderson;ORL;USA;12.0;4.8;2.9;1996-97
Nick Van Exel;LAL;USA;15.3;2.9;8.5;1996-97
Olden Polynice;SAC;USA;12.5;9.4;2.2;1996-97
Oliver Miller;TOR;USA;4.8;5.0;1.4;1996-97
Othella Harrington;HOU;USA;4.8;3.5;0.3;1996-97
Otis Thorpe;DET;USA;13.1;7.9;1.7;1996-97
P.J. Brown;MIA;USA;9.5;8.4;1.2;1996-97
Patrick Ewing;NYK;Jamaica;22.4;10.7;2.0;1996-97
Pervis Ellison;BOS;USA;2.5;4.3;0.7;1996-97
Pete Chilcutt;VAN;USA;3.4;2.9;0.9;1996-97
Pooh Richardson;LAC;USA;5.6;1.7;2.9;1996-97
Popeye Jones;TOR;USA;7.8;8.6;1.1;1996-97
Priest Lauderdale;ATL;USA;3.2;1.2;0.3;1996-97
Rafael Addison;CHH;USA;3.1;1.1;0.8;1996-97
Randolph Childress;DET;USA;1.7;0.3;0.7;1996-97
Randy Brown;CHI;USA;4.7;1.5;1.8;1996-97
Rasheed Wallace;POR;USA;15.1;6.8;1.2;1996-97
Ray Allen;MIL;USA;13.4;4.0;2.6;1996-97
Ray Owes;GSW;USA;3.1;2.9;0.3;1996-97
Reggie Geary;CLE;USA;1.5;0.4;0.9;1996-97
Reggie Jordan;MIN;USA;2.1;1.4;0.6;1996-97
Nate McMillan;SEA;USA;4.6;3.2;3.8;1996-97
Karl Malone;UTA;USA;27.4;9.9;4.5;1996-97
Nate Driggers;BOS;USA;2.4;1.5;0.4;1996-97
Mookie Blaylock;ATL;USA;17.4;5.3;5.9;1996-97
Mark West;CLE;USA;3.2;2.7;0.3;1996-97
Martin Lewis;TOR;USA;1.6;0.7;0.4;1996-97
Martin Muursepp;DAL;USA;3.7;1.6;0.5;1996-97
Marty Conlon;BOS;USA;7.8;4.4;1.4;1996-97
Matt Bullard;HOU;USA;4.5;1.6;0.9;1996-97
Matt Fish;MIA;USA;0.3;0.8;0.0;1996-97
Matt Geiger;CHH;USA;8.9;5.3;0.8;1996-97
Matt Maloney;HOU;USA;9.4;2.0;3.7;1996-97
Matt Steigenga;CHI;USA;1.5;1.5;1.0;1996-97
Melvin Booker;GSW;USA;5.8;1.4;2.5;1996-97
Michael Cage;PHI;USA;1.8;3.9;0.5;1996-97
Michael Curry;DET;USA;3.9;1.5;0.5;1996-97
Michael Finley;DAL;USA;15.0;4.5;2.7;1996-97
Michael Hawkins;BOS;USA;2.8;1.1;2.2;1996-97
Michael Jordan;CHI;USA;29.6;5.9;4.3;1996-97
Michael Smith;SAC;USA;6.5;9.5;2.4;1996-97
Mike Brown;PHX;USA;2.7;4.2;0.8;1996-97
Mitch Richmond;SAC;USA;25.9;3.9;4.2;1996-97
Mitchell Butler;POR;USA;3.0;1.1;0.6;1996-97
Monty Williams;SAS;USA;9.0;3.2;1.4;1996-97
Moochie Norris;VAN;USA;1.5;1.5;2.9;1996-97
Muggsy Bogues;CHH;USA;8.0;2.2;7.2;1996-97
Brent Scott;IND;USA;1.2;0.6;0.2;1996-97
Lloyd Daniels;NJN;USA;4.5;2.0;1.2;1996-97
Tony Massenburg;NJN;USA;7.2;6.5;0.3;1996-97
Antonio McDyess;DEN;USA;18.3;7.3;1.4;1996-97
Armen Gilliam;MIL;USA;8.6;6.2;0.7;1996-97
Arvydas Sabonis;POR;Lithuania;13.4;7.9;2.1;1996-97
Ashraf Amaya;WAS;USA;1.3;1.7;0.1;1996-97
Avery Johnson;SAS;USA;10.5;1.9;6.8;1996-97
B.J. Armstrong;GSW;USA;7.9;1.5;2.6;1996-97
Ben Davis;PHX;USA;1.5;1.4;0.0;1996-97
Ben Wallace;WAS;USA;1.1;1.7;0.1;1996-97
Benoit Benjamin;TOR;USA;3.3;2.3;0.3;1996-97
Antonio Lang;CLE;USA;2.7;2.0;0.5;1996-97
Bill Wennington;CHI;USA;4.6;2.1;0.7;1996-97
Bimbo Coles;GSW;USA;6.1;2.3;2.9;1996-97
Bison Dele;CHI;USA;7.0;3.7;1.3;1996-97
Blue Edwards;VAN;USA;7.8;3.1;1.9;1996-97
Bo Outlaw;LAC;USA;7.6;5.5;1.9;1996-97
Bob Sura;CLE;USA;9.2;3.8;4.8;1996-97
Bobby Hurley;SAC;USA;2.9;0.8;3.0;1996-97
Bobby Phills;CLE;USA;12.6;3.6;3.4;1996-97
Brad Lohaus;TOR;USA;1.7;1.2;0.2;1996-97
Brent Price;HOU;USA;5.0;1.2;2.6;1996-97
Billy Owens;SAC;USA;11.0;5.9;2.8;1996-97
Antonio Harvey;SEA;USA;2.5;1.7;0.2;1996-97
Brent Barry;LAC;USA;7.5;1.9;2.6;1996-97
Antoine Walker;BOS;USA;17.5;9.0;3.2;1996-97
A.C. Green;DAL;USA;7.2;7.9;0.8;1996-97
Aaron McKie;DET;USA;5.2;2.7;1.9;1996-97
Aaron Williams;VAN;USA;6.2;4.3;0.5;1996-97
Acie Earl;MIL;USA;4.0;2.0;0.4;1996-97
Adam Keefe;UTA;USA;3.8;3.5;0.5;1996-97
Adrian Caldwell;PHI;USA;2.2;3.7;0.3;1996-97
Antonio Davis;IND;USA;10.5;7.3;0.8;1996-97
Aleksandar Djordjevic;POR;USA;3.1;0.6;0.6;1996-97
Allan Houston;NYK;USA;14.8;3.0;2.2;1996-97
Allen Iverson;PHI;USA;23.5;4.1;7.5;1996-97
Alan Henderson;ATL;USA;6.6;3.9;0.8;1996-97
Alton Lister;BOS;USA;1.6;3.2;0.2;1996-97
Antoine Carr;UTA;USA;7.4;2.4;0.9;1996-97
Alonzo Mourning;MIA;USA;19.8;9.9;1.6;1996-97
